series_id,label,year,period,periodName,value,date
SMU01000000000000001,Alabama - Total Nonfarm,2024,M12,December,2212.2,2024-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M11,November,2211.4,2024-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M10,October,2203.6,2024-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M09,September,2191.0,2024-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M08,August,2190.3,2024-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M07,July,2182.5,2024-07-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M06,June,2197.3,2024-06-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M05,May,2194.5,2024-05-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M04,April,2188.1,2024-04-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M03,March,2180.7,2024-03-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M02,February,2175.9,2024-02-01
SMU01000000000000001,Alabama - Total Nonfarm,2024,M01,January,2155.8,2024-01-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M12,December,2190.5,2023-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M11,November,2188.3,2023-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M10,October,2180.6,2023-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M09,September,2171.8,2023-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M08,August,2162.7,2023-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M07,July,2157.2,2023-07-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M06,June,2170.2,2023-06-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M05,May,2158.4,2023-05-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M04,April,2153.1,2023-04-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M03,March,2142.9,2023-03-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M02,February,2139.0,2023-02-01
SMU01000000000000001,Alabama - Total Nonfarm,2023,M01,January,2123.6,2023-01-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M12,December,2147.7,2022-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M11,November,2143.5,2022-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M10,October,2132.8,2022-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M09,September,2127.0,2022-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M08,August,2115.0,2022-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M07,July,2113.2,2022-07-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M06,June,2110.2,2022-06-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M05,May,2105.7,2022-05-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M04,April,2101.7,2022-04-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M03,March,2086.1,2022-03-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M02,February,2084.9,2022-02-01
SMU01000000000000001,Alabama - Total Nonfarm,2022,M01,January,2061.8,2022-01-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M12,December,2098.1,2021-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M11,November,2093.3,2021-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M10,October,2077.9,2021-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M09,September,2055.8,2021-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M08,August,2050.5,2021-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M07,July,2050.7,2021-07-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M06,June,2049.2,2021-06-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M05,May,2039.5,2021-05-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M04,April,2031.6,2021-04-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M03,March,2025.1,2021-03-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M02,February,2017.4,2021-02-01
SMU01000000000000001,Alabama - Total Nonfarm,2021,M01,January,2003.1,2021-01-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M12,December,2040.3,2020-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M11,November,2032.9,2020-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M10,October,2021.3,2020-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M09,September,1992.1,2020-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M08,August,1981.9,2020-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M07,July,1959.2,2020-07-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M06,June,1947.5,2020-06-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M05,May,1895.6,2020-05-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M04,April,1844.7,2020-04-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M03,March,2073.7,2020-03-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M02,February,2077.2,2020-02-01
SMU01000000000000001,Alabama - Total Nonfarm,2020,M01,January,2066.0,2020-01-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M12,December,2100.4,2019-12-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M11,November,2102.2,2019-11-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M10,October,2086.6,2019-10-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M09,September,2079.4,2019-09-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M08,August,2081.0,2019-08-01
SMU01000000000000001,Alabama - Total Nonfarm,2019,M07,July,2074.1,2019-07-01
